group_id	group_size	sp_in_grp	seed_ortholog_cnt	a_nosocomialis.faa	a_pittii.faa	a_pragensis.faa	ab_17978.faa	ab_19606.faa
688	5	5	5	WP_002049753.1	WP_002116826.1	WP_067669286.1	WP_009518191.1	WP_001093907.1
689	5	5	5	WP_002049754.1	WP_002117042.1	WP_171254458.1	WP_000745518.1	WP_000745518.1
690	5	5	5	WP_002049755.1	WP_002049755.1	WP_067669322.1	WP_001050255.1	WP_001050255.1
691	5	5	5	WP_002049779.1	WP_002117947.1	WP_067667741.1	WP_001137383.1	WP_001137383.1
692	5	5	5	WP_002049782.1	WP_002121433.1	WP_067671452.1	WP_000175360.1	WP_000175362.1
693	5	5	5	WP_002049786.1	WP_002114298.1	WP_171254471.1	WP_001132006.1	WP_001132006.1
694	5	5	5	WP_002049811.1	WP_023187891.1	WP_067666436.1	WP_000441015.1	WP_000441019.1
695	5	5	5	WP_002049829.1	WP_002121342.1	WP_067667919.1	WP_001177528.1	WP_001177525.1
696	5	5	5	WP_002049835.1	WP_002117907.1	WP_067667749.1	WP_000331712.1	WP_000331712.1
697	5	5	5	WP_002049840.1	WP_002121428.1	WP_067665738.1	WP_001174011.1	WP_001174011.1
698	5	5	5	WP_002049844.1	WP_005069601.1	WP_067671613.1	WP_001209544.1	WP_001209544.1
699	5	5	5	WP_002049864.1	WP_002122146.1	WP_067672151.1	WP_001037927.1	WP_001037927.1
700	5	5	5	WP_002049899.1	WP_002121478.1	WP_067667931.1	WP_000218018.1	WP_000218018.1
701	5	5	5	WP_002049902.1	WP_002121405.1	WP_171254439.1	WP_000841375.1	WP_000841370.1
702	5	5	5	WP_002049904.1	WP_002121360.1	WP_067667939.1	WP_001269278.1	WP_001269278.1
703	5	5	5	WP_002049910.1	WP_002122277.1	WP_067666460.1	WP_000011876.1	WP_000011876.1
704	5	5	5	WP_002049921.1	WP_002117904.1	WP_067667758.1	WP_000368000.1	WP_000368000.1
705	5	5	5	WP_002049924.1	WP_002122130.1	WP_067667766.1	WP_000840537.1	WP_000840536.1
706	5	5	5	WP_002049932.1	WP_005802335.1	WP_067665732.1	WP_001011091.1	WP_001011093.1
707	5	5	5	WP_002049943.1	WP_005802305.1	WP_067665715.1	WP_000156076.1	WP_000156071.1
708	5	5	5	WP_002049960.1	WP_002114551.1	WP_067670481.1	WP_000347804.1	WP_000347804.1
709	5	5	5	WP_002050016.1	WP_002113652.1	WP_067671547.1	WP_000775755.1	WP_000775755.1
710	5	5	5	WP_002050020.1	WP_002121396.1	WP_067665729.1	WP_000022187.1	WP_000022187.1
711	5	5	5	WP_002050024.1	WP_002117991.1	WP_067667756.1	WP_000005343.1	WP_000005343.1
712	5	5	5	WP_002050041.1	WP_002121358.1	WP_067667150.1	WP_000966086.1	WP_000966086.1
713	5	5	5	WP_002050042.1	WP_002117986.1	WP_067667747.1	WP_000581597.1	WP_000581597.1
714	5	5	5	WP_002050043.1	WP_002121337.1	WP_067667936.1	WP_000205997.1	WP_000205997.1
715	5	5	5	WP_002050077.1	WP_000011679.1	WP_067667719.1	WP_000011679.1	WP_000011679.1
716	5	5	5	WP_002050094.1	WP_002121356.1	WP_067671464.1	WP_001128330.1	WP_001128330.1
717	5	5	5	WP_002050104.1	WP_002114545.1	WP_067670774.1	WP_000506572.1	WP_000506572.1
718	5	5	5	WP_002050106.1	WP_023187896.1	WP_067667739.1	WP_001175670.1	WP_001175677.1
719	5	5	5	WP_002050111.1	WP_002114194.1	WP_067670750.1	WP_000066032.1	WP_000066032.1
720	5	5	5	WP_002050113.1	WP_002114158.1	WP_067670770.1	WP_000736700.1	WP_000736703.1
721	5	5	5	WP_002050123.1	WP_002121471.1	WP_067671449.1	WP_000030991.1	WP_000030993.1
722	5	5	5	WP_002050124.1	WP_002121458.1	WP_067667875.1	WP_000057212.1	WP_000057216.1
723	5	5	5	WP_002050127.1	WP_002121379.1	WP_067668203.1	WP_000651464.1	WP_000651464.1
724	5	5	5	WP_002050144.1	WP_002121466.1	WP_067668210.1	WP_000240312.1	WP_000240310.1
725	5	5	5	WP_002050186.1	WP_002121454.1	WP_067667860.1	WP_000850091.1	WP_000850091.1
726	5	5	5	WP_002050195.1	WP_002121452.1	WP_067667713.1	WP_001187976.1	WP_001187976.1
727	5	5	5	WP_002050219.1	WP_002114471.1	WP_067670794.1	WP_000907229.1	WP_000907230.1
728	5	5	5	WP_002050224.1	WP_002114184.1	WP_067670748.1	WP_000521160.1	WP_000521160.1
729	5	5	5	WP_002050229.1	WP_002117998.1	WP_067667752.1	WP_000828390.1	WP_000828390.1
730	5	5	5	WP_002050239.1	WP_002121348.1	WP_067667933.1	WP_000140309.1	WP_000140309.1
731	5	5	5	WP_002050241.1	WP_002122289.1	WP_067672145.1	WP_000734921.1	WP_000734917.1
732	5	5	5	WP_002050256.1	WP_002117902.1	WP_067667953.1	WP_000933387.1	WP_000933387.1
733	5	5	5	WP_002050273.1	WP_002120061.1	WP_067665199.1	WP_001274550.1	WP_001274550.1
734	5	5	5	WP_002050276.1	WP_005071049.1	WP_067665292.1	WP_000463103.1	WP_000463103.1
735	5	5	5	WP_002050293.1	WP_002120445.1	WP_067668521.1	WP_001133287.1	WP_001133287.1
736	5	5	5	WP_002050296.1	WP_002120052.1	WP_067665205.1	WP_000852150.1	WP_000852150.1
737	5	5	5	WP_002050305.1	WP_002120434.1	WP_067669529.1	WP_000522216.1	WP_000522216.1
738	5	5	5	WP_002050307.1	WP_002120057.1	WP_067665250.1	WP_000021172.1	WP_000021173.1
739	5	5	5	WP_002050309.1	WP_002120255.1	WP_067669517.1	WP_000902820.1	WP_000902820.1
740	5	5	5	WP_002050313.1	WP_002120045.1	WP_067665238.1	WP_001007344.1	WP_001007343.1
741	5	5	5	WP_002050319.1	WP_002050319.1	WP_004648013.1	WP_000246374.1	WP_000246374.1
742	5	5	5	WP_002050325.1	WP_005803228.1	WP_171254459.1	WP_000093856.1	WP_000093856.1
743	5	5	5	WP_002050327.1	WP_002120436.1	WP_067669548.1	WP_000113824.1	WP_000113824.1
744	5	5	5	WP_002050334.1	WP_025464116.1	WP_193786453.1	WP_005135762.1	WP_001984199.1
745	5	5	5	WP_002050337.1	WP_019767940.1	WP_067665269.1	WP_001001664.1	WP_001001666.1
746	5	5	5	WP_002050341.1	WP_002120040.1	WP_067665209.1	WP_000973142.1	WP_000973142.1
747	5	5	5	WP_002050353.1	WP_002120034.1	WP_067665202.1	WP_000878003.1	WP_000878003.1
748	5	5	5	WP_002050372.1	WP_005803271.1	WP_067665218.1	WP_001070989.1	WP_001070989.1
749	5	5	5	WP_002050375.1	WP_002120443.1	WP_067668519.1	WP_001273421.1	WP_001273421.1
750	5	5	5	WP_002050385.1	WP_005803197.1	WP_067668533.1	WP_000199623.1	WP_000199621.1
751	5	5	5	WP_002050389.1	WP_005803225.1	WP_067669521.1	WP_001275712.1	WP_001275712.1
752	5	5	5	WP_002050391.1	WP_005803387.1	WP_067669394.1	WP_000778202.1	WP_000778198.1
753	5	5	5	WP_002050402.1	WP_005803269.1	WP_067665241.1	WP_000806838.1	WP_000806835.1
754	5	5	5	WP_002050406.1	WP_005803203.1	WP_067668527.1	WP_000007423.1	WP_000007422.1
755	5	5	5	WP_002050410.1	WP_005803268.1	WP_067665266.1	WP_000543705.1	WP_000543705.1
756	5	5	5	WP_002050433.1	WP_002120013.1	WP_264753337.1	WP_000465010.1	WP_000465010.1
757	5	5	5	WP_002050435.1	WP_002120291.1	WP_067669542.1	WP_000339889.1	WP_000339889.1
758	5	5	5	WP_002050455.1	WP_002115399.1	WP_067669398.1	WP_001083680.1	WP_001083680.1
759	5	5	5	WP_002050462.1	WP_002120022.1	WP_067665196.1	WP_001047855.1	WP_001047855.1
760	5	5	5	WP_002050490.1	WP_005071782.1	WP_067670369.1	WP_001186827.1	WP_001186827.1
761	5	5	5	WP_002050492.1	WP_009387700.1	WP_067668663.1	WP_000030395.1	WP_000030405.1
762	5	5	5	WP_002050496.1	WP_005804831.1	WP_067670380.1	WP_001142457.1	WP_001142458.1
763	5	5	5	WP_002050537.1	WP_016802673.1	WP_067668191.1	WP_001047027.1	WP_001047027.1
764	5	5	5	WP_002050547.1	WP_002120785.1	WP_067670374.1	WP_000031022.1	WP_000031022.1
765	5	5	5	WP_002050624.1	WP_005069007.1	WP_067667788.1	WP_001983728.1	WP_001983728.1
766	5	5	5	WP_002050640.1	WP_002121094.1	WP_067672187.1	WP_000156920.1	WP_000156920.1
767	5	5	5	WP_002050660.1	WP_019767694.1	WP_067671486.1	WP_000121842.1	WP_000121846.1
768	5	5	5	WP_002050661.1	WP_002120916.1	WP_067667782.1	WP_000885655.1	WP_000885657.1
769	5	5	5	WP_002050666.1	WP_002121106.1	WP_067667770.1	WP_000753034.1	WP_000753032.1
770	5	5	5	WP_002050668.1	WP_005073995.1	WP_067672112.1	WP_001284535.1	WP_001284535.1
771	5	5	5	WP_002050669.1	WP_019767702.1	WP_067667807.1	WP_000110630.1	WP_000257634.1
772	5	5	5	WP_002050673.1	WP_002121063.1	WP_067672193.1	WP_000616034.1	WP_000616034.1
773	5	5	5	WP_002050680.1	WP_002120892.1	WP_067672196.1	WP_000185571.1	WP_000185571.1
774	5	5	5	WP_002050689.1	WP_002121079.1	WP_171254438.1	WP_000134202.1	WP_000134203.1
775	5	5	5	WP_002050740.1	WP_002119561.1	WP_067666154.1	WP_000556102.1	WP_000556107.1
776	5	5	5	WP_002050746.1	WP_002119541.1	WP_067666148.1	WP_000180205.1	WP_000180205.1
777	5	5	5	WP_002050748.1	WP_002119538.1	WP_067666157.1	WP_000334849.1	WP_000021434.1
778	5	5	5	WP_002050751.1	WP_002119535.1	WP_067671968.1	WP_000893466.1	WP_000893466.1
779	5	5	5	WP_002050778.1	WP_002119517.1	WP_067666166.1	WP_000813006.1	WP_000813006.1
780	5	5	5	WP_002050781.1	WP_002119558.1	WP_067666203.1	WP_049594797.1	WP_000218136.1
781	5	5	5	WP_002050786.1	WP_002119513.1	WP_067666175.1	WP_000122983.1	WP_000122983.1
782	5	5	5	WP_002050789.1	WP_002119547.1	WP_067666191.1	WP_000543071.1	WP_000543073.1
783	5	5	5	WP_002051027.1	WP_002122334.1	WP_067671569.1	WP_000554244.1	WP_000554244.1
784	5	5	5	WP_002051033.1	WP_002051033.1	WP_053580096.1	WP_000144889.1	WP_000144889.1
785	5	5	5	WP_002051056.1	WP_002122331.1	WP_067671566.1	WP_001183458.1	WP_001183458.1
786	5	5	5	WP_002051059.1	WP_002122342.1	WP_067671579.1	WP_001133555.1	WP_001133554.1
787	5	5	5	WP_002051063.1	WP_019767871.1	WP_067671554.1	WP_001186837.1	WP_001186837.1
788	5	5	5	WP_002051066.1	WP_002115820.1	WP_067671557.1	WP_001082436.1	WP_001082436.1
789	5	5	5	WP_002051109.1	WP_014207555.1	WP_067665372.1	WP_001984826.1	WP_001984826.1
790	5	5	5	WP_002051136.1	WP_002116449.1	WP_067670424.1	WP_001182997.1	WP_001182997.1
791	5	5	5	WP_002051143.1	WP_002116472.1	WP_067669716.1	WP_000645707.1	WP_000645707.1
792	5	5	5	WP_002051147.1	WP_002116015.1	WP_067668456.1	WP_001174793.1	WP_001174793.1
793	5	5	5	WP_002051151.1	WP_002116220.1	WP_067665354.1	WP_000101096.1	WP_000101096.1
794	5	5	5	WP_002051154.1	WP_002116531.1	WP_067669701.1	WP_000083577.1	WP_000083571.1
795	5	5	5	WP_002051161.1	WP_002116022.1	WP_067672372.1	WP_000526259.1	WP_000526259.1
796	5	5	5	WP_002051172.1	WP_002116177.1	WP_067668462.1	WP_002004370.1	WP_002004370.1
797	5	5	5	WP_002051216.1	WP_002116010.1	WP_067669697.1	WP_001287659.1	WP_001287657.1
798	5	5	5	WP_002051244.1	WP_002116535.1	WP_067672507.1	WP_000757175.1	WP_000757175.1
799	5	5	5	WP_002051246.1	WP_002116171.1	WP_067669705.1	WP_000619820.1	WP_000619820.1
800	5	5	5	WP_002051257.1	WP_002116035.1	WP_067668485.1	WP_000626048.1	WP_000626048.1
801	5	5	5	WP_002051259.1	WP_002116233.1	WP_067668466.1	WP_000234078.1	WP_000234081.1
802	5	5	5	WP_002051261.1	WP_002116024.1	WP_161485915.1	WP_000743009.1	WP_000743009.1
803	5	5	5	WP_002051287.1	WP_002116411.1	WP_067670467.1	WP_000161505.1	WP_000161505.1
804	5	5	5	WP_002051289.1	WP_002116438.1	WP_067670437.1	WP_000406996.1	WP_000406996.1
805	5	5	5	WP_002051299.1	WP_002116544.1	WP_067670452.1	WP_001143941.1	WP_001143942.1
806	5	5	5	WP_002051302.1	WP_002116533.1	WP_067665146.1	WP_000929502.1	WP_000929503.1
807	5	5	5	WP_002051332.1	WP_005804645.1	WP_067672425.1	WP_000114637.1	WP_000114637.1
808	5	5	5	WP_002051336.1	WP_002116157.1	WP_067671416.1	WP_001046506.1	WP_001046506.1
809	5	5	5	WP_002051341.1	WP_002116115.1	WP_067671410.1	WP_000194111.1	WP_000194111.1
810	5	5	5	WP_002051344.1	WP_002116382.1	WP_067665339.1	WP_001202763.1	WP_001202762.1
811	5	5	5	WP_002051353.1	WP_002116292.1	WP_005008258.1	WP_000086385.1	WP_000086385.1
812	5	5	5	WP_002051355.1	WP_002116386.1	WP_067668470.1	WP_001056757.1	WP_001056756.1
813	5	5	5	WP_002051365.1	WP_002116475.1	WP_067672527.1	WP_001071168.1	WP_001071168.1
814	5	5	5	WP_002051367.1	WP_002116377.1	WP_067668454.1	WP_000927243.1	WP_000927238.1
815	5	5	5	WP_002051369.1	WP_002116542.1	WP_227509850.1	WP_000701693.1	WP_000701693.1
816	5	5	5	WP_002051374.1	WP_002116101.1	WP_067670605.1	WP_000680577.1	WP_000680577.1
817	5	5	5	WP_002051379.1	WP_002051379.1	WP_067665062.1	WP_001192454.1	WP_001192454.1
818	5	5	5	WP_002051385.1	WP_002116028.1	WP_067665050.1	WP_000371521.1	WP_000371538.1
819	5	5	5	WP_002051388.1	WP_002116388.1	WP_067670435.1	WP_000216076.1	WP_000216076.1
820	5	5	5	WP_002051390.1	WP_002116017.1	WP_067668489.1	WP_000887099.1	WP_000887099.1
821	5	5	5	WP_002051396.1	WP_002116181.1	WP_067665034.1	WP_001176578.1	WP_001176580.1
822	5	5	5	WP_002051423.1	WP_002051423.1	WP_067669703.1	WP_001138893.1	WP_001138893.1
823	5	5	5	WP_002051446.1	WP_002116359.1	WP_067669695.1	WP_000587649.1	WP_000587652.1
824	5	5	5	WP_002051447.1	WP_002116279.1	WP_067670426.1	WP_001121009.1	WP_001121008.1
825	5	5	5	WP_002051475.1	WP_002116272.1	WP_067669718.1	WP_001161542.1	WP_001161543.1
826	5	5	5	WP_002051480.1	WP_002116442.1	WP_067672477.1	WP_001984866.1	WP_001984866.1
827	5	5	5	WP_002051486.1	WP_005072790.1	WP_067665348.1	WP_049594803.1	WP_002027721.1
828	5	5	5	WP_002051488.1	WP_023187776.1	WP_067672369.1	WP_001267353.1	WP_001267652.1
829	5	5	5	WP_002051504.1	WP_002116290.1	WP_067665024.1	WP_001075596.1	WP_001075590.1
830	5	5	5	WP_002051512.1	WP_002116392.1	WP_067670592.1	WP_001290059.1	WP_001290059.1
831	5	5	5	WP_002051550.1	WP_002116523.1	WP_067668501.1	WP_000994655.1	WP_000994655.1
832	5	5	5	WP_002051565.1	WP_002116136.1	WP_067665392.1	WP_000125649.1	WP_000125649.1
833	5	5	5	WP_002051570.1	WP_001139542.1	WP_067672696.1	WP_001139545.1	WP_001139541.1
834	5	5	5	WP_002051574.1	WP_002116083.1	WP_067669691.1	WP_001293924.1	WP_001293924.1
835	5	5	5	WP_002051640.1	WP_017400479.1	WP_067669221.1	WP_001189303.1	WP_001189303.1
836	5	5	5	WP_002051642.1	WP_002116889.1	WP_067670222.1	WP_000690905.1	WP_000690905.1
837	5	5	5	WP_002051646.1	WP_002116718.1	WP_067670216.1	WP_000508762.1	WP_000508757.1
838	5	5	5	WP_002051668.1	WP_002116654.1	WP_005013144.1	WP_000014562.1	WP_000014562.1
839	5	5	5	WP_002051672.1	WP_002116998.1	WP_067670231.1	WP_000018346.1	WP_000018346.1
840	5	5	5	WP_002051673.1	WP_002117013.1	WP_067670218.1	WP_001200011.1	WP_001200011.1
841	5	5	5	WP_002051712.1	WP_002117090.1	WP_067671268.1	WP_000846931.1	WP_000846931.1
842	5	5	5	WP_002051715.1	WP_002116886.1	WP_067669217.1	WP_001019905.1	WP_001019905.1
843	5	5	5	WP_002051720.1	WP_005078440.1	WP_067669219.1	WP_000993500.1	WP_000993504.1
844	5	5	5	WP_002051726.1	WP_002116751.1	WP_067670241.1	WP_000928089.1	WP_000928089.1
845	5	5	5	WP_002051734.1	WP_002116678.1	WP_067668230.1	WP_001275654.1	WP_001275657.1
846	5	5	5	WP_002051739.1	WP_002116973.1	WP_067669211.1	WP_000015937.1	WP_000015937.1
847	5	5	5	WP_002051740.1	WP_019767421.1	WP_067669180.1	WP_001189451.1	WP_001189454.1
848	5	5	5	WP_002051754.1	WP_002116847.1	WP_067670233.1	WP_000842465.1	WP_000842465.1
849	5	5	5	WP_002051760.1	WP_002116964.1	WP_067669189.1	WP_000464596.1	WP_000464598.1
850	5	5	5	WP_002051763.1	WP_002116776.1	WP_067671248.1	WP_001193998.1	WP_001194003.1
851	5	5	5	WP_002051768.1	WP_002116992.1	WP_067669209.1	WP_000407064.1	WP_000407064.1
852	5	5	5	WP_002051782.1	WP_002117101.1	WP_067671257.1	WP_000840835.1	WP_000840831.1
853	5	5	5	WP_002051786.1	WP_002116919.1	WP_067669168.1	WP_000077814.1	WP_000077814.1
854	5	5	5	WP_002051884.1	WP_019768102.1	WP_067671002.1	WP_000214980.1	WP_000214980.1
855	5	5	5	WP_002051905.1	WP_002115480.1	WP_067671212.1	WP_000724999.1	WP_000724999.1
856	5	5	5	WP_002051923.1	WP_002115497.1	WP_067671221.1	WP_000093728.1	WP_000093729.1
857	5	5	5	WP_002051954.1	WP_016802632.1	WP_067671902.1	WP_001262789.1	WP_001262789.1
858	5	5	5	WP_002051994.1	WP_005803140.1	WP_067670146.1	WP_000100964.1	WP_000100975.1
859	5	5	5	WP_002052000.1	WP_005070868.1	WP_067670141.1	WP_000093035.1	WP_000093035.1
860	5	5	5	WP_002052009.1	WP_005803116.1	WP_067670108.1	WP_000164153.1	WP_000164154.1
861	5	5	5	WP_002052013.1	WP_005075304.1	WP_067670150.1	WP_000763678.1	WP_000763677.1
862	5	5	5	WP_002052019.1	WP_005803129.1	WP_067670124.1	WP_000347034.1	WP_000347036.1
863	5	5	5	WP_002052040.1	WP_005803139.1	WP_067670143.1	WP_001202415.1	WP_001202415.1
864	5	5	5	WP_002052062.1	WP_017481335.1	WP_067670130.1	WP_000442590.1	WP_000442584.1
865	5	5	5	WP_002052068.1	WP_005803159.1	WP_067669989.1	WP_001276142.1	WP_001276144.1
866	5	5	5	WP_002052085.1	WP_004703325.1	WP_067670167.1	WP_000844343.1	WP_000844343.1
867	5	5	5	WP_002052109.1	WP_002115205.1	WP_067668131.1	WP_001127151.1	WP_001127151.1
868	5	5	5	WP_002052112.1	WP_002115207.1	WP_067668054.1	WP_001290023.1	WP_001290023.1
869	5	4	5	WP_002052161.1,WP_006580343.1	WP_002116214.1	*	WP_001072497.1	WP_001984816.1
870	5	5	5	WP_002052186.1	WP_000905538.1	WP_067671772.1	WP_000905538.1	WP_000905538.1
871	5	5	5	WP_002052191.1	WP_050501297.1	WP_081406812.1	WP_000350212.1	WP_000350212.1
872	5	5	5	WP_002052196.1	WP_005067029.1	WP_067670212.1	WP_000090021.1	WP_000090021.1
873	5	5	5	WP_002052198.1	WP_002116911.1	WP_067671763.1	WP_000196732.1	WP_000196732.1
874	5	5	5	WP_002052204.1	WP_000046156.1	WP_067669976.1	WP_000046156.1	WP_000046156.1
875	5	5	5	WP_002052206.1	WP_002116928.1	WP_067671759.1	WP_001123236.1	WP_001123235.1
876	5	5	5	WP_002052224.1	WP_002116775.1	WP_067671781.1	WP_001205591.1	WP_001205595.1
877	5	5	5	WP_002052244.1	WP_019767411.1	WP_067669598.1	WP_002048094.1	WP_000131195.1
878	5	5	5	WP_002052250.1	WP_002117035.1	WP_067669596.1	WP_000051217.1	WP_000051217.1
879	5	5	5	WP_002052337.1	WP_002117045.1	WP_067669276.1	WP_000433617.1	WP_000433617.1
880	5	5	5	WP_002052345.1	WP_002116779.1	WP_067666902.1	WP_000013717.1	WP_000013717.1
881	5	5	5	WP_002052415.1	WP_002118671.1	WP_067667500.1	WP_000066123.1	WP_000066134.1
882	5	5	5	WP_002052421.1	WP_002118456.1	WP_067668820.1	WP_000344900.1	WP_000344903.1
883	5	5	5	WP_002052424.1	WP_002052424.1	WP_067668755.1	WP_001154002.1	WP_001154002.1
884	5	5	5	WP_002052430.1	WP_002118393.1	WP_067668968.1	WP_001009533.1	WP_001009533.1
885	5	5	5	WP_002052437.1	WP_002118428.1	WP_067668831.1	WP_000095056.1	WP_000095056.1
886	5	5	5	WP_002052447.1	WP_002119072.1	WP_067667512.1	WP_000205474.1	WP_000205472.1
887	5	5	5	WP_002052468.1	WP_002118176.1	WP_067672621.1	WP_000342684.1	WP_000342684.1
888	5	5	5	WP_002052470.1	WP_002118669.1	WP_067668721.1	WP_000975525.1	WP_000975526.1
889	5	5	5	WP_002052473.1	WP_002118141.1	WP_067667560.1	WP_001177236.1	WP_001177236.1
890	5	5	5	WP_002052483.1	WP_002118524.1	WP_067671622.1	WP_000885357.1	WP_000885360.1
891	5	5	5	WP_002052504.1	WP_002118820.1	WP_067668925.1	WP_000897185.1	WP_000897185.1
892	5	5	5	WP_002052512.1	WP_002118581.1	WP_067670725.1	WP_000123995.1	WP_000123995.1
893	5	5	5	WP_002052521.1	WP_002118775.1	WP_162492935.1	WP_001212600.1	WP_001212600.1
894	5	5	5	WP_002052526.1	WP_005803832.1	WP_067671644.1	WP_001039857.1	WP_001039855.1
895	5	5	5	WP_002052555.1	WP_002118558.1	WP_067668939.1	WP_000197255.1	WP_000197255.1
896	5	5	5	WP_002052561.1	WP_002118784.1	WP_067668943.1	WP_001023217.1	WP_001023216.1
897	5	5	5	WP_002052563.1	WP_002119006.1	WP_067669141.1	WP_000741966.1	WP_000741964.1
898	5	5	5	WP_002052578.1	WP_002118606.1	WP_067668818.1	WP_000035781.1	WP_000035781.1
899	5	5	5	WP_002052586.1	WP_002118730.1	WP_067668742.1	WP_000208542.1	WP_000208542.1
900	5	5	5	WP_002052588.1	WP_002118816.1	WP_067668793.1	WP_000027499.1	WP_000027499.1
901	5	5	5	WP_002052591.1	WP_002118415.1	WP_067671650.1	WP_001057073.1	WP_001057073.1
902	5	5	5	WP_002052599.1	WP_002118556.1	WP_067668734.1	WP_001015075.1	WP_001015075.1
903	5	5	5	WP_002052600.1	WP_002118491.1	WP_171254449.1	WP_000858381.1	WP_000858385.1
904	5	5	5	WP_002052603.1	WP_002118682.1	WP_067671712.1	WP_000078676.1	WP_000078676.1
905	5	5	5	WP_002052609.1	WP_002118501.1	WP_067668815.1	WP_000842416.1	WP_000842416.1
906	5	5	5	WP_002052610.1	WP_002118718.1	WP_067668903.1	WP_000117540.1	WP_000117542.1
907	5	5	5	WP_002052620.1	WP_005073421.1	WP_067672618.1	WP_001198542.1	WP_001198539.1
908	5	5	5	WP_002052645.1	WP_002118601.1	WP_067668791.1	WP_001011052.1	WP_001011052.1
909	5	5	5	WP_002052670.1	WP_002118513.1	WP_067668744.1	WP_000836015.1	WP_000836015.1
910	5	5	5	WP_002052673.1	WP_004699892.1	WP_067668753.1	WP_001273591.1	WP_001273591.1
911	5	5	5	WP_002052696.1	WP_002119065.1	WP_067667507.1	WP_000061267.1	WP_000061267.1
912	5	5	5	WP_002052704.1	WP_002118712.1	WP_067668931.1	WP_000993080.1	WP_000993080.1
913	5	5	5	WP_002052705.1	WP_005067963.1	WP_067668923.1	WP_001091973.1	WP_001091973.1
914	5	5	5	WP_002052708.1	WP_005803821.1	WP_067668901.1	WP_001259423.1	WP_001259425.1
915	5	5	5	WP_002052725.1	WP_002118576.1	WP_067668894.1	WP_001212949.1	WP_001212949.1
916	5	5	5	WP_002052728.1	WP_002118545.1	WP_067668963.1	WP_000611579.1	WP_000611584.1
917	5	5	5	WP_002052729.1	WP_005073425.1	WP_067672633.1	WP_000994845.1	WP_000994845.1
918	5	5	5	WP_002052735.1	WP_002118385.1	WP_067668725.1	WP_001153980.1	WP_001153980.1
919	5	5	5	WP_002052743.1	WP_002118702.1	WP_067668882.1	WP_000031230.1	WP_000031228.1
920	5	5	5	WP_002052747.1	WP_001231788.1	WP_067667511.1	WP_001231791.1	WP_001231790.1
921	5	5	5	WP_002052760.1	WP_002118988.1	WP_067668937.1	WP_001107199.1	WP_001107199.1
922	5	5	5	WP_002052780.1	WP_002118178.1	WP_067668839.1	WP_001254962.1	WP_001254963.1
923	5	5	5	WP_002052782.1	WP_002118099.1	WP_067667567.1	WP_001010536.1	WP_001010536.1
924	5	5	5	WP_002052783.1	WP_002118746.1	WP_067668795.1	WP_001048807.1	WP_001048807.1
925	5	5	5	WP_002052788.1	WP_002118650.1	WP_067668875.1	WP_000222202.1	WP_000222202.1
926	5	5	5	WP_002052792.1	WP_002118686.1	WP_067668947.1	WP_000886768.1	WP_000886772.1
927	5	5	5	WP_002052807.1	WP_002118664.1	WP_067668785.1	WP_000080867.1	WP_000080867.1
928	5	5	5	WP_002052843.1	WP_002118496.1	WP_067668805.1	WP_000263427.1	WP_000263427.1
929	5	5	5	WP_002052850.1	WP_002118117.1	WP_067668861.1	WP_001137505.1	WP_001137505.1
930	5	5	5	WP_002052853.1	WP_002118993.1	WP_067668779.1	WP_000771345.1	WP_000771345.1
931	5	5	5	WP_002052875.1	WP_002119019.1	WP_067668886.1	WP_000468065.1	WP_000468065.1
932	5	5	5	WP_002052880.1	WP_002118374.1	WP_067668751.1	WP_000224630.1	WP_000224630.1
933	5	5	5	WP_002052886.1	WP_002118406.1	WP_067668941.1	WP_000480885.1	WP_000480885.1
934	5	5	5	WP_002052888.1	WP_002118795.1	WP_067671694.1	WP_000059223.1	WP_000059225.1
935	5	5	5	WP_002052897.1	WP_002118238.1	WP_067667554.1	WP_000125378.1	WP_000125378.1
936	5	5	5	WP_002052936.1	WP_002118666.1	WP_067668965.1	WP_000035083.1	WP_000035083.1
937	5	5	5	WP_002052939.1	WP_005068218.1	WP_067667561.1	WP_000951085.1	WP_000951088.1
938	5	5	5	WP_002052941.1	WP_002118538.1	WP_067668759.1	WP_000437078.1	WP_000437078.1
939	5	5	5	WP_002052947.1	WP_002118932.1	WP_171254433.1	WP_001199663.1	WP_001199672.1
940	5	5	5	WP_002052965.1	WP_002118444.1	WP_067669139.1	WP_001187604.1	WP_001187604.1
941	5	5	5	WP_002052969.1	WP_002118698.1	WP_067667487.1	WP_000209395.1	WP_000209397.1
942	5	5	5	WP_002052978.1	WP_002118897.1	WP_067670729.1	WP_000667907.1	WP_000667902.1
943	5	5	5	WP_002053140.1	WP_000089995.1	WP_067666009.1	WP_000089996.1	WP_000089996.1
944	5	5	5	WP_002053159.1	WP_002121155.1	WP_067672740.1	WP_000942501.1	WP_000942501.1
945	5	5	5	WP_002053173.1	WP_002121182.1	WP_067665952.1	WP_000209086.1	WP_000209091.1
946	5	5	5	WP_002053209.1	WP_002115094.1	WP_067666315.1	WP_001165443.1	WP_001165443.1
947	5	5	5	WP_002053267.1	WP_002114991.1	WP_067666750.1	WP_000908081.1	WP_000908081.1
948	5	5	5	WP_002053270.1	WP_002114763.1	WP_067666806.1	WP_000368721.1	WP_000368721.1
949	5	5	5	WP_002053277.1	WP_002115030.1	WP_067666725.1	WP_001269736.1	WP_001269735.1
